card_name,oracle_tags
"Abaddon the Despoiler","40k-model|card-advantage|cast-from-exile|cast-from-nonhand|cast-trigger|cast-trigger-you|consult|consult-cast|cycle|cycle-40k-face-commander|face-commander|gives-cascade|gives-castable-from-exile|gives-castable-from-nonhand|life-loss-matters|unnoted-tracked-information"
"Aberrant","40k-model|artifact-removal|cantrip|card-advantage|card-names|disenchant|disenchant-naturalize|draw|draw-card|enchantment-removal|gains-pp-counters|high-x-matters|intervening-if-clause|naming-scheme|naturalize|pure-draw|removal|removal-artifact|removal-destroy|removal-enchantment|repeatable-removal|saboteur|single-english-word-name|spot-removal|unique-type-line"
"Acolyte Hybrid","40k-model|artifact-removal|attack-trigger|beast-within|card-advantage|draw|plunder|pongify|removal|removal-artifact|removal-destroy|repeatable-draw|repeatable-removal|sac-outlet|sacrifice-outlet|spot-removal|swap-removal|synergy-artifact|synergy-attacker-self"
"Arco-Flagellant","40k-model|activated-ability|bigger-than-mv|copy|copy-self|enters-in-company|gains-indestructible|has-identical-token|intervening-if-clause|life-payment|more-expensive-than-mv|multiple-bodies|squad-token|token-version-of-a-card|token-versions-of-cards"
"Aspiring Champion","40k-model|burn|burn-player|demon-synergy|evasion|group-slug|kindred|martyr|polymorph|power-matters|saboteur|sacrifice-self|tribal|tribal-demon|typal|typal-creature|typal-demon"
"Assault Intercessor","40k-model|death-trigger|deathtrigger|evasion|leaves-battlefield-trigger|opponent-loses-life"
"Atalan Jackal","40k-model|acceleration|combat-mana|mana-ramp|ramp|saboteur|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield|unique-type-line"
"Belisarius Cawl","40k-model|activated-ability|card-advantage|impulse|impulse-artifact|repeatable-creature-tokens|repeatable-token-generator|synergy-artifact|tap-fuel-artifact|tap-fuel-creature"
"Biophagus","40k-model|acceleration|activated-ability|buff-mana|cast-trigger|cast-trigger-you|gives-1-1-counters|gives-pp-counters|mana-dork|mana-producer|mana-ramp|ramp|unique-type-line"
"Bloodcrusher of Khorne","40k-model|card-names|gives-trample|namesake-spell|naming-scheme|unique-type-line"
"Bloodthirster","40k-model|evasion|extra-attack|extra-combat|extra-combat-phase|multiplayer|saboteur|untapper-self|untaps-self"
"Broodlord","40k-model|cantrip|card-advantage|draw|draw-card|flavors-of-vanilla|gains-pp-counters|gives-1-1-counters|gives-pp-counters|hand-neutral|high-x-matters|intervening-if-clause|multiple-targets|pure-draw|unique-mana-cost|virtual-vanilla"
"Callidus Assassin","40k-model|clone|copy|copy-creature|creature-removal|removal|removal-creature|removal-destroy|spot-removal|unique-type-line"
"Canoptek Spyder","40k-model|card-advantage|draw|draw-card|evasion|hand-positive|pure-draw|repeatable-draw|synergy-artifact-creature|synergy-vehicle"
"Canoptek Tomb Sentinel","40k-model|activate-from-graveyard|activated-ability|artifact-removal|creature-removal|delayed-triggered-ability|enchantment-removal|planeswalker-removal|reanimate|reanimate-matters|reanimate-self|recursion|recursion-self|removal|removal-artifact|removal-aura|removal-battle|removal-creature|removal-enchantment|removal-equipment|removal-exile|removal-nonland|removal-planeswalker|removal-spacecraft|removal-vehicle|resurrect|self-reanimate|spot-removal|temporary-reanimation|zombify"
"Canoptek Wraith","40k-model|acceleration|combat-mana|day-0-errata|day-0-oracle-errata|day-zero-errata|day-zero-oracle-errata|mana-ramp|martyr|name-matters|ramp|saboteur|sacrifice-self|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield|unique-type-line"
"Celestine, the Living Saint","40k-model|evasion|life-gain|lifegain|lifegain-matters|reanimate|reanimate-creature|recursion|recursion-creature|resurrect|synergy-lifegain|unnoted-tracked-information|zombify"
"Chaos Defiler","40k-model|artifact-removal|creature-removal|death-trigger|death-trigger-self|deathtrigger|enchantment-removal|leaves-battlefield-trigger|life-and-death-trigger-self|planeswalker-removal|removal|removal-artifact|removal-aura|removal-battle|removal-creature|removal-destroy|removal-enchantment|removal-equipment|removal-nonland|removal-planeswalker|removal-spacecraft|removal-vehicle|repeatable-removal|spot-removal|unique-type-line"
"Chaos Terminator Lord","40k-model|gives-double-strike"
